Category,Sl.No.,Ministry/Department,Scheme,Actuals2019-2020 - Revenue,Actuals2019-2020 - Capital,Actuals2019-2020 - Total,Budget Estimates2020-2021 - Revenue,Budget Estimates2020-2021 - Capital,Budget Estimates2020-2021 - Total,Revised Estimates2020-2021 - Revenue,Revised Estimates2020-2021 - Capital,Revised Estimates2020-2021 - Total,Budget Estimates2021-2022 - Revenue,Budget Estimates2021-2022 - Capital,Budget Estimates2021-2022 - Total
Demand No. 7,69,Department of Pharmaceuticals ,Development of Pharmaceutical Industry,3.29, NA,3.29,42.05, NA,42.05,34.05, NA ,34.05,124.42, NA,124.42
Demand No. 7,70,Department of Pharmaceuticals ,Consumer Awareness Publicity and Price Monitoring,4, NA,4,4.5, NA,4.5,3, NA ,3,6, NA,6
Demand No. 8,71,Ministry of Civil Aviation ,Turnaround Plan of Air India Ltd., NA,0.01,0.01, NA,0.01,0.01, NA,0.01,0.01, NA, NA, NA
Demand No. 8,72,Ministry of Civil Aviation ,Regional Connectivity Scheme,488.81, NA,488.81,465.17, NA,465.17,700, NA ,700,600, NA,600
Demand No. 8,73,Ministry of Civil Aviation ,Purchase of two new aircraft for Special Extra Section Flight operations.,272.35, NA,272.35,810.23, NA,810.23,809.96, NA ,809.96,0.01, NA,0.01
Demand No. 8,74,Ministry of Civil Aviation ,Air India Asset Holding Limited (SPV),2568.05, NA,2568.05,2205, NA,2205,2215.5, NA ,2215.5,2268.99, NA,2268.99
Demand No. 8,75,Ministry of Civil Aviation ,Mobile Air Dispensary and Air Ambulance, NA, NA, NA,0.01, NA,0.01, NA, NA , NA, NA, NA, NA
Demand No. 9,76,Ministry of Coal ,Research and Development,18.77, NA,18.77,25, NA,25,12, NA ,12,18, NA,18
Demand No. 9,77,Ministry of Coal ,"Conservation, Safety and Infrastructure Development in Coal Mines",84.58, NA,84.58,94.98, NA,94.98,56.73, NA ,56.73,71.98, NA,71.98
Demand No. 9,78,Ministry of Coal ,Exploration of Coal and Lignite,659.47, NA,659.47,700, NA,700,485, NA ,485,330, NA,330
Demand No. 10,79,Department of Commerce ,Agricultural Product Export Development Authority (APEDA),73.64, NA,73.64,95, NA,95,85, NA ,85,85, NA,85
Demand No. 10,80,Department of Commerce ,Marine Product Export Development Authority (MPEDA),110.33, NA,110.33,140, NA,140,110, NA ,110,110, NA,110
Demand No. 10,81,Department of Commerce ,Trade Infrastructure for Export Schemes (TIES),64.99, NA,64.99,75, NA,75,75, NA ,75,75, NA,75
Demand No. 10,82,Department of Commerce ,Duty Drawback Scheme,640.51, NA,640.51,701.32, NA,701.32,497, NA ,497,377, NA,377
Demand No. 10,83,Department of Commerce ,Tea Board,175.96, NA,175.96,200, NA,200,175, NA ,175,375, NA,375
Demand No. 10,84,Department of Commerce ,Coffee Board,210.73, NA,210.73,225, NA,225,180, NA ,180,180, NA,180
Demand No. 10,85,Department of Commerce ,Rubber Board,211.2, NA,211.2,221.34, NA,221.34,187.69, NA ,187.69,190, NA,190
Demand No. 10,86,Department of Commerce ,Spices Board,105, NA,105,120, NA,120,100, NA ,100,100, NA,100
Demand No. 10,87,Department of Commerce ,Cashew Export Promotion Council,1, NA,1,10, NA,10,3, NA ,3,5, NA,5
Demand No. 10,88,Department of Commerce ,Market Access Initiative,324.99, NA,324.99,300, NA,300,180, NA ,180,200, NA,200
Demand No. 10,89,Department of Commerce ,National Export Insurance Account,300, NA,300, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 10,90,Department of Commerce ,Gems and Jewellery Sector,4.99, NA,4.99,10, NA,10,5, NA ,5,5, NA,5
Demand No. 10,91,Department of Commerce ,"Footwear, Leather and Accessories",10, NA,10, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 10,92,Department of Commerce ,Investment in ECGC (Export Credit Guarantee Corporation), NA,800,800, NA,650,650, NA,390,390, NA,260,260
Demand No. 10,93,Department of Commerce ,Interest Equalisation Scheme,2890.3, NA,2890.3,2300, NA,2300,1600, NA ,1600,1900, NA,1900
Demand No. 10,94,Department of Commerce ,Project Development Fund,2.91, NA,2.91,16, NA,16,3, NA ,3,5, NA,5
Demand No. 10,95,Department of Commerce ,Champion Service Sector Scheme on Transportation and Logistics, NA, NA, NA,5, NA,5, NA, NA , NA,0.01, NA,0.01
Demand No. 10,96,Department of Commerce ,Centre For Research on International Trade-CRIT (Centre for WTO Studies),27.63, NA,27.63,37.34, NA,37.34,30, NA ,30,30, NA,30
Demand No. 10,97,Department of Commerce ,Transport and Marketing Assistance (TMA) Scheme for specified agriculture products,21.98, NA,21.98,100, NA,100,100, NA ,100,150, NA,150
Demand No. 10,98,Department of Commerce ,Stimulus Package for Export Credit - NIRVIK Yojana, NA, NA, NA,95, NA,95, NA, NA , NA,0.01, NA,0.01
Demand No. 10,99,Department of Commerce ,Implementation of Agriculture Export Policy,0.01, NA,0.01,5, NA,5,1, NA ,1,100, NA,100
Demand No. 11,100,Department for Promotion of Industry and Internal Trade,Indian Leather Development Programme (ILDP),382.78, NA,382.78,370, NA,370,148, NA ,148,150, NA,150
Demand No. 11,101,Department for Promotion of Industry and Internal Trade,Industrial Infrastructure Upgradation Scheme (IIUS),22.55, NA,22.55,25, NA,25,25, NA ,25,13, NA,13
Demand No. 11,102,Department for Promotion of Industry and Internal Trade,Price and Production Statistics,8.63, NA,8.63,12, NA,12,12, NA ,12,12.7, NA,12.7
Demand No. 11,103,Department for Promotion of Industry and Internal Trade,National Industrial Corridor Development and Implementation Trust (NICDIT),950, NA,950,1200, NA,1200,2600, NA ,2600,2000, NA,2000
Demand No. 11,104,Department for Promotion of Industry and Internal Trade,Amritsar Kolkata Industrial Corridor Project (AKIC),2.7, NA,2.7, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 11,105,Department for Promotion of Industry and Internal Trade,"Exhibition-Cum-Convention Centre, Dwarka", NA,654.41,654.41,0.01,347.41,347.42,0.01,347.41,347.42, NA,245.58,245.58
Demand No. 11,106,Department for Promotion of Industry and Internal Trade,Scheme for Investment Promotion,148.94, NA,148.94,140, NA,140,91, NA ,91,90.49, NA,90.49
Demand No. 11,107,Department for Promotion of Industry and Internal Trade,Scheme for implementation of National Manufacturing Policy,8.29, NA,8.29, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 11,108,Department for Promotion of Industry and Internal Trade,Ease of Doing Business (e-Biz Project),1.48, NA,1.48,7, NA,7, NA, NA , NA, NA, NA, NA
Demand No. 11,109,Department for Promotion of Industry and Internal Trade,Fund of Funds, NA,431.31,431.31, NA,1054.97,1054.97, NA,429.99,429.99, NA,830,830
Demand No. 11,110,Department for Promotion of Industry and Internal Trade,Credit Guarantee Fund, NA, NA, NA,10, NA,10, NA, NA , NA,300, NA,300
Demand No. 11,111,Department for Promotion of Industry and Internal Trade,Startup India,28.45, NA,28.45,50, NA,50,20, NA ,20,20.83, NA,20.83
Demand No. 11,112,Department for Promotion of Industry and Internal Trade,Startup India Seed Fund Scheme (SISFS), NA, NA, NA, NA, NA, NA, NA, NA , NA, NA,126,126
Demand No. 11,113,Department for Promotion of Industry and Internal Trade,Ease of Doing Business,3.31, NA,3.31,20, NA,20,8, NA ,8,10, NA,10
Demand No. 11,114,Department for Promotion of Industry and Internal Trade,Production Linked Incentive Scheme (PLI) for White Goods (ACs and LED Lights), NA, NA, NA, NA, NA, NA, NA, NA , NA,1, NA,1
Demand No. 11,115,Department for Promotion of Industry and Internal Trade,North Eastern Industrial and Investment Promotion Policy (NEIPP),583.52, NA,583.52,200, NA,200,200, NA ,200,150, NA,150
Demand No. 11,116,Department for Promotion of Industry and Internal Trade,North East Industrial Development Scheme (NEIDS) 2017,1, NA,1,100, NA,100,15, NA ,15,30, NA,30
Demand No. 11,117,Department for Promotion of Industry and Internal Trade,Transport/Freight Subsidy Scheme,342.87, NA,342.87,300, NA,300,385, NA ,385,350, NA,350
Demand No. 11,118,Department for Promotion of Industry and Internal Trade,"Package for Special Catagory States for Jammu and Kashmir,  Himachal Pradesh and Uttarakhand",132.99, NA,132.99,175, NA,175,45, NA ,45,20, NA,20
Demand No. 11,119,Department for Promotion of Industry and Internal Trade,"Industrial Development Scheme, 2017 for Union Territory of Jammu & Kashmir and Union Territory of Ladakh", NA, NA, NA, NA, NA, NA, NA, NA , NA,100, NA,100
Demand No. 11,120,Department for Promotion of Industry and Internal Trade,"Industrial Development Scheme for Himachal Pradesh & Uttarakhand, 2017", NA, NA, NA, NA, NA, NA, NA, NA , NA,100, NA,100
Demand No. 11,121,Department for Promotion of Industry and Internal Trade,Industrial Development of UT of Jammu and Kashmir, NA, NA, NA, NA, NA, NA, NA, NA , NA,104.5, NA,104.5
Demand No. 11,122,Department for Promotion of Industry and Internal Trade,Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States,2130.09, NA,2130.09,1716, NA,1716,2716, NA ,2716,2507.92, NA,2507.92
Demand No. 12,123,Department of Posts ,Postal Operation,127.87,330.32,458.19,435.32,769.21,1204.53,354.27,584.84,939.11,337.95,636.02,973.97
Demand No. 12,124,Department of Posts ,Financial Services, NA,11.36,11.36, NA, NA, NA, NA, NA , NA, NA, NA, NA
Demand No. 12,125,Department of Posts ,India Post Payments Bank,0.05,335,335.05, NA,220,220, NA,220,220, NA,200,200
Demand No. 12,126,Department of Posts ,Human Resource Management,10.7,1.95,12.65,40.2,7,47.2,13.5,2.54,16.04,20.93,4.07,25
Demand No. 12,127,Department of Posts ,Estates Management, NA,47.03,47.03,0.5,120,120.5,0.2,39.8,40, NA,55,55
Demand No. 13,128,Department of Telecommunications ,Compensation to Service Providers for creation and augmentation of telecom infrastructure,2925.59, NA,2925.59,8000, NA,8000,7200, NA ,7200,9000, NA,9000
Demand No. 13,129,Department of Telecommunications ,Optical Fibre Cable based network for Defence Services, NA,4705,4705, NA,5000,5000, NA,4000,4000, NA,5200,5200
Demand No. 13,130,Department of Telecommunications ,Human Resource Management,8.08,40.58,48.66,28.44,30.01,58.45,5,35,40,26.03,53.97,80
Demand No. 13,131,Department of Telecommunications ,Wireless Planning and Coordination,47.21,4.39,51.6,55,25,80,39.99,5.01,45,54.49,8.56,63.05
Demand No. 13,132,Department of Telecommunications ,Telecom Engineering Centre, NA,0.58,0.58, NA,20,20, NA,18,18, NA,20,20
Demand No. 13,133,Department of Telecommunications ,Technology Development and  Investment Promotion,3, NA,3,10, NA,10,10, NA ,10,9, NA,9
Demand No. 13,134,Department of Telecommunications ,Establishment of Satellite Gateway (Assistance to BSNL), NA, NA, NA, NA,10,10, NA,11.52,11.52, NA,0.01,0.01
Demand No. 13,135,Department of Telecommunications ,Construction of  Office Building, NA, NA, NA, NA,0.05,0.05, NA, NA , NA, NA,0.01,0.01
Demand No. 13,136,Department of Telecommunications ,Special Assistance for Swachhta Action Plan,2.07, NA,2.07,5, NA,5,1, NA ,1,2.5, NA,2.5
Demand No. 13,137,Department of Telecommunications ,Telecom Testing and Security Certification Centre, NA,0.1,0.1, NA,10,10, NA,5,5, NA,15,15
Demand No. 13,138,Department of Telecommunications ,Telecom Computer Emergency Response Team(T-Cert), NA, NA, NA, NA,10,10, NA,6.47,6.47, NA,23,23
Demand No. 13,139,Department of Telecommunications ,Central Equipments Identity Register (CEIR), NA, NA, NA, NA,10,10, NA,5.02,5.02, NA,13,13
Demand No. 13,140,Department of Telecommunications ,Funding to BSNL for providing Telecom Connectivity for Amarnath Yatra,1, NA,1,1, NA,1, NA, NA , NA,1, NA,1
Demand No. 13,141,Department of Telecommunications ,5G Connectivity Test Bed, NA,73.84,73.84, NA,45,45, NA,55.9,55.9, NA,0.01,0.01
Demand No. 13,142,Department of Telecommunications ,Champion Services Sector Scheme,0.15, NA,0.15,20, NA,20,10, NA ,10,5, NA,5
Demand No. 14,143,Department of Consumer Affairs ,Price Stabilisation Fund,1713, NA,1713,2000, NA,2000,11800, NA ,11800,2700, NA,2700
Demand No. 14,144,Department of Consumer Affairs ,CONFONET,33.63, NA,33.63,29.5, NA,29.5,29.5, NA ,29.5,26, NA,26
Demand No. 14,145,Department of Consumer Affairs ,Consumer Awareness (Advertising and Publicity),33.89, NA,33.89,60, NA,60,42.5, NA ,42.5,44.5, NA,44.5
Demand No. 14,146,Department of Consumer Affairs ,Consumer Helplines,0.39, NA,0.39,0.5, NA,0.5,1.2, NA ,1.2,0.5, NA,0.5
Demand No. 14,147,Department of Consumer Affairs ,Consumer Protection Cell,8.84, NA,8.84,11, NA,11,7.05, NA ,7.05,9.5, NA,9.5
Demand No. 14,148,Department of Consumer Affairs ,Price Monitoring Structure,1.36, NA,1.36,2, NA,2,1, NA ,1,2, NA,2
Demand No. 14,149,Department of Consumer Affairs ,"Strengthening Consumer Forum, Consumer Counseling and Mediation",3.51, NA,3.51,8, NA,8,2.66, NA ,2.66,8, NA,8
Demand No. 14,150,Department of Consumer Affairs ,Bureau of Indian Standard,2, NA,2,2, NA,2,1, NA ,1,1.5, NA,1.5
Demand No. 14,151,Department of Consumer Affairs ,National Test House,6.4,1.66,8.06,9.6,10.4,20,9.05,4.95,14,11.95,11.55,23.5
Demand No. 14,152,Department of Consumer Affairs ,Strengthening of Weights and Measures Infrastructure and Strengthening of Regional Reference Standard Laboratories and Indian Institute of Legal Metrology,10.54,11.77,22.31,17,45,62,13.5,29.24,42.74,20.5,34.5,55
Demand No. 15,153,Department of Food and Public Distribution ,Food Subsidy  to Food Corporation of India under National Food Security Act.,75000, NA,75000,77982.54, NA,77982.54,344077, NA ,344077,202616, NA,202616
Demand No. 15,154,Department of Food and Public Distribution ,Food Subsidy for Decentralized Procurement of Foodgrains under NFSA,33508.35, NA,33508.35,37337.14, NA,37337.14,78337.77, NA ,78337.77,40000, NA,40000
Demand No. 15,155,Department of Food and Public Distribution ,Sugar Subsidy payable under Public Distribution System,180, NA,180,250, NA,250,203.37, NA ,203.37,220, NA,220
Demand No. 15,156,Department of Food and Public Distribution ,Assistance to State Agencies for intra-state movement of foodgrains and FPS dealers margin under NFSA,1678.78, NA,1678.78,3982.54, NA,3982.54,8000, NA ,8000,4000, NA,4000
Demand No. 15,157,Department of Food and Public Distribution ,Scheme for Assistance to Sugar Mills for 2017-18 season,54.59, NA,54.59, NA, NA, NA,10, NA ,10, NA, NA, NA
Demand No. 15,158,Department of Food and Public Distribution ,Scheme for Assistance to Sugar Mills for 2018-19 season,2000, NA,2000,200, NA,200,1163, NA ,1163,200, NA,200
Demand No. 15,159,Department of Food and Public Distribution ,Scheme for Creation and Maintenance of Buffer Stock of 40 LMT of Sugar,99.97, NA,99.97,200, NA,200,500, NA ,500,600, NA,600
Demand No. 15,160,Department of Food and Public Distribution ,Scheme for Creation and Maintenance of Buffer Stock of Sugar,430.08, NA,430.08, NA, NA, NA,150, NA ,150,50, NA,50
Demand No. 15,161,Department of Food and Public Distribution ,Scheme for Assistance to Sugar Mills for 2019-20 season,100, NA,100,500, NA,500,3900, NA ,3900,1000, NA,1000
Demand No. 15,162,Department of Food and Public Distribution ,Scheme for extending financial assistance to sugar mills for enhancement and augmentation of ethanol production capacity,50, NA,50,50, NA,50,150, NA ,150,300, NA,300
Demand No. 15,163,Department of Food and Public Distribution ,"Scheme for defraying expenditure towards internal transport, freight, handling and other charges on export",550, NA,550,200, NA,200,350, NA ,350, NA, NA, NA
Demand No. 15,164,Department of Food and Public Distribution ,Scheme for Extending Soft Loan to Sugar Mills,100, NA,100,120, NA,120,418, NA ,418, NA, NA, NA
Demand No. 15,165,Department of Food and Public Distribution ,Re-imbursement of Internal Transport and Freight Charges to Sugar Factories on export shipment of Sugar and payment of other permissible claims,0.63, NA,0.63, NA, NA, NA,0.36, NA ,0.36, NA, NA, NA
